in_comm,directed_rnbrw,backtrack,zigzag,zigzag_cycle,weighted_zigzag
False,1.01,0.01,1.01,43.01,1.0054766153018435
False,0.01,0.01,0.01,23.009999999999998,0.8314389554248347
False,0.01,0.01,1.01,29.009999999999998,0.7899514812672707
False,0.01,1.01,1.01,43.01,0.9727720674674456
False,0.01,0.01,0.01,30.009999999999998,0.8630735489015335
False,0.01,0.01,2.01,42.01,0.6053002944324227
False,0.01,1.01,2.01,24.009999999999998,0.7405819661311651
True,0.01,0.01,2.01,34.01,0.9538854603016802
False,1.01,0.01,0.01,36.01,1.5751282407822655
False,0.01,0.01,1.01,32.01,1.2216209028279967
False,1.01,0.01,1.01,43.01,0.5805732643841239
True,1.01,0.01,0.01,38.01,0.9135540848040848
False,0.01,0.01,1.01,36.01,1.0005270451906028
False,0.01,0.01,1.01,31.009999999999998,1.4121414289604461
False,1.01,1.01,3.01,32.01,1.0022429829508304
False,3.01,0.01,3.01,28.009999999999998,0.9313629836946258
False,0.01,0.01,1.01,38.01,1.1198316251317244
False,0.01,0.01,0.01,29.009999999999998,1.001852990867151
False,0.01,0.01,1.01,33.01,1.1973825987082103
True,0.01,0.01,1.01,31.009999999999998,0.7896260566936308
False,0.01,0.01,0.01,38.01,1.0289633915384524
True,0.01,0.01,0.01,51.01,1.3835661002157869
False,0.01,0.01,1.01,29.009999999999998,0.8787225248951256
True,0.01,0.01,0.01,30.009999999999998,0.6235344011879684
False,0.01,0.01,0.01,41.01,0.965695600776958
False,0.01,0.01,0.01,42.01,1.1811723889991663
False,0.01,0.01,1.01,37.01,0.9823623318414969
True,0.01,0.01,0.01,40.01,1.3730041602272003
False,0.01,0.01,2.01,51.01,0.8025594088807727
False,0.01,0.01,1.01,44.01,0.7853494090450612
False,0.01,0.01,2.01,35.01,1.0356215898290688
False,2.01,1.01,0.01,34.01,1.1166563540731371
False,0.01,0.01,0.01,39.01,0.7062113458436987
True,0.01,0.01,0.01,32.01,1.1655273093244995
False,0.01,0.01,0.01,27.009999999999998,1.189827690083108
False,0.01,1.01,0.01,40.01,0.39853542291042293
False,0.01,0.01,0.01,42.01,1.6158538452534918
