network,initial,singleton,commTotal,commMax,commAve,r,rho
health,0.75,305,134,107,5.77,0.676,0.614
health,0.6,307,141,103,5.655,0.686,0.627
health,0.8,305,134,120,5.77,0.677,0.617
health,0.4,1148,125,79,1.993,0.694,0.569
health,0.65,309,135,100,5.706,0.686,0.628
health,0.45,1148,124,82,1.995,0.686,0.564
health,0.55,304,138,116,5.731,0.683,0.623
health,0.2,1496,127,39,1.563,0.825,0.727
health,0.95,313,138,107,5.617,0.677,0.613
health,1.0,0,101,203,24.892,0.609,0.565
health,0.7,302,133,111,5.823,0.676,0.613
health,0.05,1561,126,55,1.504,0.853,0.757
health,0.15,1548,132,49,1.51,0.853,0.741
health,0.85,299,138,102,5.797,0.672,0.61
health,0.9,299,136,115,5.823,0.672,0.61
health,0.5,312,144,85,5.556,0.696,0.636
health,0.35,1117,126,98,2.041,0.694,0.573
health,0.1,1542,126,63,1.521,0.854,0.762
health,0.3,1427,126,67,1.634,0.776,0.659
health,0.25,1429,125,80,1.633,0.763,0.646
health,0.01,1543,128,53,1.519,0.858,0.759
