network,initial,singleton,commTotal,commMax,commAve,r,rho
highschool,0.75,1,7,21,7.778,0.65,0.382
highschool,0.7,1,7,21,7.778,0.661,0.404
highschool,0.5,1,7,21,7.778,0.661,0.404
highschool,0.9,0,8,20,7.778,0.674,0.412
highschool,0.65,1,7,21,7.778,0.661,0.404
highschool,0.1,30,7,9,1.842,0.899,0.66
highschool,0.45,5,8,18,5.0,0.697,0.393
highschool,0.55,1,7,21,7.778,0.661,0.404
highschool,0.3,20,8,14,2.414,0.776,0.538
highschool,0.95,1,7,21,7.778,0.661,0.404
highschool,0.6,0,7,24,8.75,0.669,0.431
highschool,1.0,0,7,22,8.75,0.646,0.383
highschool,0.05,30,7,9,1.842,0.899,0.66
highschool,0.15,30,7,9,1.842,0.899,0.66
highschool,0.85,0,8,20,7.778,0.674,0.412
highschool,0.4,5,8,18,5.0,0.697,0.393
highschool,0.8,1,7,21,7.778,0.65,0.382
highschool,0.35,6,7,20,5.0,0.679,0.371
highschool,0.2,26,8,10,2.0,0.849,0.615
highschool,0.25,20,7,14,2.5,0.776,0.563
highschool,0.01,30,7,10,1.842,0.926,0.731
