directed_rnbrw,backtrack,directed_cycle,zigzag,zigzag_cycle,weighted_zigzag
0.01,0.01,5.01,1.01,20.009999999999998,0.5861904761904762
0.01,1.01,2.01,1.01,14.01,1.1351152073732718
0.01,2.01,1.01,1.01,18.009999999999998,1.1194322344322345
0.01,0.01,0.01,0.01,13.01,0.6947894411854366
0.01,0.01,1.01,1.01,10.01,0.7351823815783771
0.01,0.01,3.01,1.01,13.01,1.5083571983571984
1.01,1.01,5.01,2.01,17.009999999999998,0.4996109637488948
1.01,1.01,0.01,1.01,10.01,0.8620202020202019
0.01,1.01,1.01,0.01,15.01,0.4925396825396825
0.01,1.01,4.01,3.01,9.01,0.14636363636363636
1.01,1.01,3.01,2.01,12.01,0.6894011544011543
0.01,0.01,2.01,1.01,8.01,1.2348196248196246
0.01,0.01,2.01,0.01,19.009999999999998,0.6046127946127946
0.01,0.01,1.01,0.01,4.01,0.5445598845598845
1.01,0.01,2.01,1.01,16.009999999999998,0.6186649909230555
0.01,0.01,0.01,0.01,12.01,0.9177428318807628
1.01,1.01,3.01,0.01,11.01,0.4982025382025382
0.01,0.01,2.01,0.01,16.009999999999998,0.6244794818707862
0.01,0.01,0.01,0.01,12.01,0.9160351413292589
0.01,0.01,1.01,0.01,15.01,0.5137878787878788
0.01,1.01,0.01,1.01,18.009999999999998,0.697121212121212
0.01,0.01,3.01,0.01,19.009999999999998,0.6339247311827956
0.01,0.01,2.01,1.01,6.01,1.4702239865397762
0.01,0.01,1.01,2.01,10.01,0.9104509827090472
1.01,0.01,3.01,0.01,15.01,0.8023446651387827
0.01,0.01,1.01,4.01,12.01,0.946111111111111
1.01,0.01,0.01,1.01,16.009999999999998,1.5928754578754576
0.01,0.01,0.01,0.01,18.009999999999998,1.2008119658119658
0.01,0.01,1.01,3.01,15.01,0.8473015873015872
0.01,0.01,2.01,1.01,17.009999999999998,1.003675813433878
0.01,0.01,2.01,4.01,16.009999999999998,1.139254955570745
0.01,0.01,0.01,2.01,17.009999999999998,0.5738888888888889
0.01,0.01,1.01,0.01,18.009999999999998,0.17847826086956523
0.01,0.01,0.01,1.01,13.01,0.8611904761904761
0.01,0.01,2.01,3.01,17.009999999999998,0.5156707629288274
0.01,0.01,2.01,0.01,10.01,1.2544444444444443
0.01,0.01,0.01,1.01,10.01,0.5695238095238095
0.01,0.01,2.01,0.01,11.01,0.38202380952380954
0.01,1.01,1.01,1.01,14.01,0.9781336493407431
0.01,0.01,2.01,0.01,10.01,0.565952380952381
0.01,0.01,0.01,1.01,18.009999999999998,0.9894011544011544
0.01,0.01,1.01,0.01,6.01,1.147032834315443
0.01,1.01,1.01,1.01,8.01,0.8018831168831169
0.01,0.01,0.01,2.01,16.009999999999998,0.6407187981101025
0.01,0.01,1.01,2.01,19.009999999999998,0.6179545454545454
0.01,0.01,3.01,0.01,12.01,1.0104329004329002
0.01,0.01,4.01,1.01,13.01,0.6472405372405372
0.01,0.01,2.01,0.01,10.01,1.0584829497987394
0.01,0.01,1.01,0.01,9.01,0.5999692412850308
0.01,0.01,1.01,0.01,14.01,1.1759793422951317
0.01,0.01,5.01,1.01,15.01,1.8416058195853593
0.01,0.01,0.01,0.01,22.009999999999998,0.9858516483516484
0.01,0.01,3.01,1.01,20.009999999999998,1.1711730660643702
0.01,0.01,2.01,1.01,11.01,0.5964468864468864
0.01,0.01,1.01,0.01,15.01,0.8937662337662338
0.01,0.01,1.01,1.01,11.01,1.1687795230748521
0.01,0.01,0.01,0.01,16.009999999999998,1.0081203139461534
1.01,2.01,2.01,1.01,11.01,0.23868663594470046
0.01,1.01,3.01,4.01,12.01,1.4222222222222223
0.01,0.01,2.01,1.01,15.01,0.48003968253968254
0.01,0.01,0.01,1.01,15.01,1.0885714285714285
1.01,0.01,2.01,2.01,11.01,1.8907628920786814
0.01,0.01,2.01,2.01,18.009999999999998,0.28928571428571426
0.01,0.01,2.01,4.01,17.009999999999998,0.26
0.01,0.01,5.01,3.01,9.01,0.8926839826839826
0.01,0.01,1.01,1.01,18.009999999999998,0.9300109530991885
0.01,0.01,4.01,0.01,19.009999999999998,0.8068577174459528
1.01,0.01,5.01,1.01,14.01,0.8016806722689076
0.01,0.01,9.01,0.01,16.009999999999998,1.310887021475257
0.01,0.01,5.01,2.01,18.009999999999998,1.3806349206349204
0.01,0.01,5.01,0.01,13.01,0.4766666666666666
0.01,0.01,3.01,1.01,13.01,1.0685937009850053
0.01,0.01,5.01,1.01,20.009999999999998,1.3814814814814813
2.01,2.01,1.01,3.01,18.009999999999998,0.9598015873015873
1.01,1.01,2.01,4.01,16.009999999999998,1.248345864661654
0.01,0.01,5.01,0.01,12.01,0.6624203772925
0.01,0.01,5.01,2.01,13.01,0.4673634211792106
0.01,1.01,6.01,0.01,13.01,0.625539919541131
0.01,1.01,9.01,1.01,17.009999999999998,0.9420512820512821
1.01,0.01,2.01,0.01,11.01,0.5793581780538303
2.01,0.01,7.01,2.01,15.01,1.8826551226551227
0.01,0.01,1.01,2.01,18.009999999999998,0.6697744360902256
0.01,1.01,5.01,0.01,17.009999999999998,1.083145318733554
1.01,0.01,8.01,0.01,14.01,0.9707466063348417
1.01,0.01,4.01,1.01,14.01,0.7116339869281046
1.01,0.01,6.01,0.01,11.01,1.598987809576045
0.01,0.01,3.01,1.01,17.009999999999998,1.2276846100759145
0.01,1.01,3.01,1.01,19.009999999999998,0.943065953654189
1.01,0.01,5.01,0.01,12.01,0.8385103785103786
0.01,0.01,3.01,0.01,16.009999999999998,0.7861904761904763
0.01,1.01,1.01,0.01,10.01,0.6988278388278388
0.01,1.01,0.01,3.01,13.01,0.7056709956709957
0.01,0.01,2.01,0.01,18.009999999999998,0.09333333333333332
0.01,0.01,1.01,0.01,21.009999999999998,1.2433333333333334
0.01,0.01,3.01,2.01,13.01,1.578073593073593
0.01,0.01,0.01,1.01,10.01,1.5867787767787769
0.01,0.01,3.01,1.01,8.01,1.3988578974317516
0.01,0.01,3.01,0.01,19.009999999999998,0.9283261183261182
0.01,0.01,0.01,2.01,18.009999999999998,0.4351063264221159
0.01,1.01,3.01,3.01,17.009999999999998,1.2576732049312693
0.01,1.01,2.01,1.01,12.01,1.135
1.01,0.01,0.01,2.01,14.01,1.6068253968253967
0.01,1.01,0.01,1.01,15.01,0.8489715676480383
0.01,0.01,3.01,0.01,23.009999999999998,1.2236788048552754
0.01,0.01,2.01,0.01,14.01,1.1358980785296575
0.01,0.01,0.01,2.01,18.009999999999998,1.968401728989964
1.01,0.01,2.01,1.01,14.01,0.31535714285714284
1.01,0.01,4.01,1.01,21.009999999999998,0.5224320124320125
0.01,1.01,5.01,2.01,18.009999999999998,0.9451862218241527
0.01,2.01,4.01,2.01,19.009999999999998,1.1582664995822889
1.01,0.01,7.01,1.01,15.01,0.963364179679969
1.01,3.01,5.01,3.01,18.009999999999998,0.8648608254490606
0.01,0.01,6.01,1.01,12.01,0.8013761676919572
0.01,1.01,6.01,2.01,23.009999999999998,1.183815073815074
